firstname,gender,frequency,cumulative_frequency,rank,source
JAMES,male,3.318,3.318,1,US Census 1990
JOHN,male,3.271,6.589,2,US Census 1990
ROBERT,male,3.143,9.732,3,US Census 1990
MICHAEL,male,2.629,12.361,4,US Census 1990
WILLIAM,male,2.451,14.812,5,US Census 1990
DAVID,male,2.363,17.176,6,US Census 1990
RICHARD,male,1.703,18.878,7,US Census 1990
CHARLES,male,1.523,20.401,8,US Census 1990
JOSEPH,male,1.404,21.805,9,US Census 1990
THOMAS,male,1.38,23.185,10,US Census 1990
CHRISTOPHER,male,1.035,24.22,11,US Census 1990
DANIEL,male,0.974,25.194,12,US Census 1990
PAUL,male,0.948,26.142,13,US Census 1990
MARK,male,0.938,27.081,14,US Census 1990
DONALD,male,0.931,28.012,15,US Census 1990
GEORGE,male,0.927,28.939,16,US Census 1990
KENNETH,male,0.826,29.766,17,US Census 1990
STEVEN,male,0.78,30.546,18,US Census 1990
EDWARD,male,0.779,31.325,19,US Census 1990
BRIAN,male,0.736,32.061,20,US Census 1990
RONALD,male,0.725,32.787,21,US Census 1990
ANTHONY,male,0.721,33.508,22,US Census 1990
KEVIN,male,0.671,34.179,23,US Census 1990
JASON,male,0.66,34.839,24,US Census 1990
MATTHEW,male,0.657,35.496,25,US Census 1990
GARY,male,0.65,36.147,26,US Census 1990
TIMOTHY,male,0.64,36.786,27,US Census 1990
JOSE,male,0.613,37.399,28,US Census 1990
LARRY,male,0.598,37.997,29,US Census 1990
JEFFREY,male,0.591,38.588,30,US Census 1990
FRANK,male,0.581,39.169,31,US Census 1990
SCOTT,male,0.546,39.715,32,US Census 1990
ERIC,male,0.544,40.259,33,US Census 1990
STEPHEN,male,0.54,40.799,34,US Census 1990
ANDREW,male,0.537,41.335,35,US Census 1990
RAYMOND,male,0.488,41.824,36,US Census 1990
GREGORY,male,0.441,42.265,37,US Census 1990
JOSHUA,male,0.435,42.7,38,US Census 1990
JERRY,male,0.432,43.132,39,US Census 1990
DENNIS,male,0.415,43.547,40,US Census 1990
WALTER,male,0.399,43.946,41,US Census 1990
PATRICK,male,0.389,44.335,42,US Census 1990
PETER,male,0.381,44.716,43,US Census 1990
HAROLD,male,0.371,45.087,44,US Census 1990
DOUGLAS,male,0.367,45.454,45,US Census 1990
HENRY,male,0.365,45.819,46,US Census 1990
CARL,male,0.346,46.165,47,US Census 1990
ARTHUR,male,0.335,46.5,48,US Census 1990
RYAN,male,0.328,46.828,49,US Census 1990
ROGER,male,0.322,47.15,50,US Census 1990
JOE,male,0.321,47.471,51,US Census 1990
JUAN,male,0.316,47.786,52,US Census 1990
JACK,male,0.315,48.102,53,US Census 1990
ALBERT,male,0.314,48.415,54,US Census 1990
JONATHAN,male,0.313,48.729,55,US Census 1990
JUSTIN,male,0.311,49.04,56,US Census 1990
TERRY,male,0.311,49.351,57,US Census 1990
GERALD,male,0.309,49.66,58,US Census 1990
KEITH,male,0.308,49.968,59,US Census 1990
SAMUEL,male,0.306,50.274,60,US Census 1990
WILLIE,male,0.302,50.576,61,US Census 1990
RALPH,male,0.282,50.859,62,US Census 1990
