birth_date,birth_year,death_date,debut_year,final_year,first_name,full_name,last_name,nickname,player_url,source
,1890,,,,Luis,Luis García,García,,https://www.baseball-almanac.com/players/player.php?p=garcilu04,Baseball Almanac
,1890,,,,Juan,Juan Soto,Soto,Soto Pacheco,https://www.baseball-almanac.com/players/player.php?p=sotoju01,Baseball Almanac
09-27-1890,1890,06-18-1937,1912,1919,Willie,Willie Adams,Adams,Willie,https://www.baseball-almanac.com/players/player.php?p=adamswi01,Baseball Almanac
02-04-1890,1890,09-06-1981,1910,1924,Eddie,Eddie Ainsmith,Ainsmith,Dorf or Eddie,https://www.baseball-almanac.com/players/player.php?p=ainsmed01,Baseball Almanac
12-29-1890,1890,08-16-1976,1912,1912,George,George Aiton,Aiton,,https://www.baseball-almanac.com/players/player.php?p=aitonge01,Baseball Almanac
10-27-1890,1890,09-24-1967,1914,1914,John,John Allen,Allen,,https://www.baseball-almanac.com/players/player.php?p=allenjo01,Baseball Almanac
10-16-1890,1890,06-18-1957,1913,1917,Milo,Milo Allison,Allison,,https://www.baseball-almanac.com/players/player.php?p=allismi01,Baseball Almanac
08-02-1890,1890,01-24-1952,1914,1917,Angel,Angel Aragon,Aragon,Pete,https://www.baseball-almanac.com/players/player.php?p=aragoan01,Baseball Almanac
01-07-1890,1890,06-30-1946,1914,1914,Grover,Grover Baichley,Baichley,,https://www.baseball-almanac.com/players/player.php?p=baichgr01,Baseball Almanac
01-23-1890,1890,10-04-1967,1915,1916,Ed,Ed Barney,Barney,Ed,https://www.baseball-almanac.com/players/player.php?p=barneed01,Baseball Almanac
08-06-1890,1890,09-18-1964,1914,1914,Frank,Frank Barron,Barron,,https://www.baseball-almanac.com/players/player.php?p=barrofr02,Baseball Almanac
02-08-1890,1890,08-15-1970,1913,1917,Ray,Ray Bates,Bates,Ray,https://www.baseball-almanac.com/players/player.php?p=batesra01,Baseball Almanac
02-21-1890,1890,10-29-1973,1914,1914,George,George Beck,Beck,,https://www.baseball-almanac.com/players/player.php?p=beckge01,Baseball Almanac
11-16-1890,1890,10-18-1959,1912,1912,Ralph,Ralph Bell,Bell,Lefty,https://www.baseball-almanac.com/players/player.php?p=bellra01,Baseball Almanac
01-25-1890,1890,06-04-1967,1914,1914,Henry,Henry Benn,Benn,Big Benn or Rosie,https://www.baseball-almanac.com/players/player.php?p=bennhe01,Baseball Almanac
06-27-1890,1890,12-12-1937,1910,1925,Rube,Rube Benton,Benton,Rube,https://www.baseball-almanac.com/players/player.php?p=bentoru01,Baseball Almanac
04-25-1890,1890,03-23-1972,1921,1921,Red,Red Bird,Bird,Red,https://www.baseball-almanac.com/players/player.php?p=birdre01,Baseball Almanac
04-25-1890,1890,06-18-1968,1914,1914,Lloyd,Lloyd Bishop,Bishop,,https://www.baseball-almanac.com/players/player.php?p=bisholl01,Baseball Almanac
02-17-1890,1890,01-11-1973,1912,1914,Rivington,Rivington Bisland,Bisland,,https://www.baseball-almanac.com/players/player.php?p=bislari01,Baseball Almanac
02-23-1890,1890,03-20-1962,1911,1911,John,John Black,Black,Jack,https://www.baseball-almanac.com/players/player.php?p=blackjo01,Baseball Almanac
05-06-1890,1890,07-29-1982,1913,1918,Lute,Lute Boone,Boone,Danny,https://www.baseball-almanac.com/players/player.php?p=boonelu01,Baseball Almanac
09-01-1890,1890,04-20-1956,1914,1914,Sam,Sam Brenegan,Brenegan,Sam,https://www.baseball-almanac.com/players/player.php?p=brenesa01,Baseball Almanac
05-20-1890,1890,08-02-1975,1916,1916,Jess,Jess Buckles,Buckles,Jess,https://www.baseball-almanac.com/players/player.php?p=bucklje01,Baseball Almanac
11-20-1890,1890,03-16-1958,1915,1924,Leon,Leon Cadore,Cadore,Caddy,https://www.baseball-almanac.com/players/player.php?p=cadorle01,Baseball Almanac
06-23-1890,1890,01-28-1955,1913,1913,Bill,Bill Calhoun,Calhoun,Bill or Mary,https://www.baseball-almanac.com/players/player.php?p=calhobi01,Baseball Almanac
08-09-1890,1890,05-02-1982,1913,1919,Leo,Leo Callahan,Callahan,,https://www.baseball-almanac.com/players/player.php?p=callale01,Baseball Almanac
01-11-1890,1890,05-30-1976,1910,1929,Max,Max Carey,Carey,Scoops,https://www.baseball-almanac.com/players/player.php?p=careyma01,Baseball Almanac
02-19-1890,1890,11-08-1918,1913,1917,Larry,Larry Chappell,Chappell,Larry,https://www.baseball-almanac.com/players/player.php?p=chappla01,Baseball Almanac
01-31-1890,1890,05-23-1947,1915,1915,Goat,Goat Cochran,Cochran,Goat,https://www.baseball-almanac.com/players/player.php?p=cochrgo01,Baseball Almanac
09-26-1890,1890,07-16-1959,1913,1916,Bob,Bob Coleman,Coleman,Bob,https://www.baseball-almanac.com/players/player.php?p=colembo01,Baseball Almanac
01-29-1890,1890,05-01-1926,1911,1911,Ed,Ed Conwell,Conwell,Irish,https://www.baseball-almanac.com/players/player.php?p=conweed01,Baseball Almanac
10-05-1890,1890,08-11-1975,1915,1915,Rollin,Rollin Cook,Cook,,https://www.baseball-almanac.com/players/player.php?p=cookro01,Baseball Almanac
